,Wins,FinalFour,TitleGame,Champion
Auburn,0.1047,0.0636,0.0,0.0
Texas A&M,0.0839,0.0,0.0,0.0
Mississippi,0.0277,0.0,0.0,0.0
New Mexico,0.0422,0.0,0.0,0.0
Michigan St.,0.2836,0.1162,0.0385,0.0
Memphis,0.1081,0.0471,0.0471,0.0
Kansas,0.4201,0.1838,0.1425,0.0991
St. John's,0.0233,0.0,0.0,0.0
Liberty,0.0128,0.0,0.0,0.0
Arizona,0.2081,0.0,0.0,0.0
BYU,0.0647,0.0,0.0,0.0
Wisconsin,0.2245,0.0823,0.0479,0.0
Vanderbilt,0.0354,0.0,0.0,0.0
Alabama,0.1175,0.0296,0.0,0.0
Clemson,0.0599,0.0,0.0,0.0
Purdue,0.2358,0.0494,0.0494,0.0
Illinois,0.0862,0.0,0.0,0.0
Kentucky,0.2942,0.141,0.073,0.0486
Troy,0.0045,0.0,0.0,0.0
UCLA,0.1668,0.0554,0.0,0.0
Tennessee,0.1808,0.0,0.0,0.0
Iowa St.,0.1179,0.0,0.0,0.0
Florida,0.2111,0.0864,0.0464,0.0464
Connecticut,0.2269,0.1911,0.1511,0.1511
Texas Tech,0.1206,0.0369,0.0369,0.0
Baylor,0.2048,0.0492,0.0492,0.0492
Houston,0.1851,0.083,0.0476,0.0
Gonzaga,0.3271,0.0965,0.0965,0.0
Maryland,0.0882,0.0,0.0,0.0
Arkansas,0.1026,0.0,0.0,0.0
Duke,0.4032,0.1747,0.0997,0.0997
Stetson,0.0022,0.0,0.0,0.0
Florida Atlantic,0.0248,0.0212,0.0,0.0
Northwestern,0.0258,0.0,0.0,0.0
San Diego St.,0.1206,0.0309,0.0309,0.0
UAB,0.0121,0.0,0.0,0.0
Yale,0.0226,0.0,0.0,0.0
Saint Mary's,0.0701,0.0,0.0,0.0
College of Charleston,0.0082,0.0,0.0,0.0
Long Beach St.,0.0061,0.0,0.0,0.0
Nebraska,0.0073,0.0,0.0,0.0
James Madison,0.0101,0.0,0.0,0.0
Colorado,0.0342,0.0,0.0,0.0
Western Kentucky,0.0222,0.0,0.0,0.0
Grambling St.,0.0029,0.0,0.0,0.0
South Carolina,0.0262,0.0225,0.0,0.0
Oregon,0.1292,0.0303,0.0,0.0
Creighton,0.1035,0.0,0.0,0.0
Akron,0.0179,0.0,0.0,0.0
Washington St.,0.0236,0.0,0.0,0.0
North Carolina,0.3765,0.2131,0.1724,0.0987
Oakland,0.0115,0.0,0.0,0.0
Marquette,0.1279,0.0,0.0,0.0
West Virginia,0.134,0.035,0.0,0.0
Virginia,0.1098,0.008,0.008,0.008
Furman,0.0059,0.0,0.0,0.0
